probe_no | arm | stage_hit | target
01 | A | index | commit-consent-in-autonomous-mode
02 | A | index | feedback_verify-wt-before-commit
03 | A | index | feedback_backup-unversioned-live-configs
04 | A | index | feedback_relay-claims-verify-current-state
05 | A | index | feedback_full-read-base-not-context-copy
06 | A | index | feedback_review-even-on-quick-fix
07 | A | index | feedback_read-current-file-before-reviewing
08 | A | index | feedback_dispatch-reread-governing-docs
09 | A | index | feedback_diagnose-installed-vs-source-first
10 | A | index | feedback_inflow-needs-outflow
11 | A | index | feedback_quota-failover-policy
12 | A | index | feedback_backlog-card-edit-precheck
01 | B | resident | commit-consent-in-autonomous-mode
02 | B | resident | feedback_verify-wt-before-commit
03 | B | resident | feedback_backup-unversioned-live-configs
04 | B | resident | feedback_relay-claims-verify-current-state
05 | B | resident | feedback_full-read-base-not-context-copy
06 | B | inventory | feedback_review-even-on-quick-fix
07 | B | resident | feedback_read-current-file-before-reviewing
08 | B | resident | feedback_dispatch-reread-governing-docs
09 | B | inventory | feedback_diagnose-installed-vs-source-first
10 | B | inventory | feedback_inflow-needs-outflow
11 | B | inventory | feedback_quota-failover-policy
12 | B | inventory | feedback_backlog-card-edit-precheck
01 | C | map+resident | commit-consent-in-autonomous-mode
02 | C | map+resident | feedback_verify-wt-before-commit
03 | C | map+resident | feedback_backup-unversioned-live-configs
04 | C | map+resident | feedback_relay-claims-verify-current-state
05 | C | map+resident | feedback_full-read-base-not-context-copy
06 | C | inventory | feedback_review-even-on-quick-fix
07 | C | map+resident | feedback_read-current-file-before-reviewing
08 | C | map+resident | feedback_dispatch-reread-governing-docs
09 | C | inventory | feedback_diagnose-installed-vs-source-first
10 | C | inventory | feedback_inflow-needs-outflow
11 | C | inventory | feedback_quota-failover-policy
12 | C | inventory | feedback_backlog-card-edit-precheck
TOTALS: A=12/12 B=12/12 C=12/12
